325,1627
1496,2662
7,398
276,1126
2665,1564
860,887
1642,2748
2012,1967
93,1194
2458,780
72,1028
2748,1672
2723,1171
2116,2021
580,2239
1044,1957
1603,2463
2125,2439
1390,1986
2237,1933
832,938
1788,2624
2533,1393
1985,1053
2164,2434
2048,2212
2646,2578
1447,483
2805,2227
2578,2694
724,1641
220,1427
2467,1567
820,411
540,2580
23,522
660,1771
2808,1262
1709,1854
2113,1373
49,2719
896,1816
301,2470
140,1483
485,2044
292,2783
2040,1259
1567,2180
489,2502
2409,2678
1155,1741
2609,2113
2324,2251
276,771
2258,2723
651,2434
273,2422
1684,857
920,927
1605,1977
278,1980
303,1531
2441,746
418,1502
2189,2496
2673,2012
2203,1382
437,1709
2543,938
2789,1882
1444,1546
94,1203
995,1155
157,1635
2398,2675
786,1756
2763,2552
1038,1906
84,2090
2455,969
1312,2283
129,2077
997,1681
2458,2573
319,1727
2432,489
294,2539
1900,1602
334,1939
1091,2609
37,2719
2197,1704
1309,1906
951,2404
2329,2116
1992,2238
505,2709
1652,765
2805,1597
2735,2050
1135,1890
253,2306
1500,2569
1011,362
2778,1650
708,2590
2393,526
2261,2140
1295,2805
180,1179
2535,559
1754,2676
1616,734
1758,2039
217,2441
251,589
2488,1601
1563,1191
2396,1776
2494,2048
1891,2108
1055,1714
872,1160
308,1935
2730,2222
2208,1601
277,2431
690,1959
2323,1798
1939,1240
151,1583
188,812
380,2323
815,1978
1010,1327
2428,1686
2658,2460
1905,447
308,2679
1903,724
300,2639
2043,1604
473,2171
2159,1091
2141,1603
1694,1983
463,1768
1720,1212
2768,715
2717,945
1693,2289
2089,1370
2163,920
835,2725
685,1452
1435,855
1177,2247
26,971
2559,1354
1975,531
1517,2148
2486,2613
38,698
1398,1066
891,611
1714,1933
2499,2562
1666,1858
1976,2502
2583,2665
2320,561
2224,2757
2627,2450
628,673
2647,2117
2125,1084
2456,969
2744,1993
2248,2602
2377,2733
2719,2652
2118,1831
2167,892
259,2333
2463,2141
816,2236
2562,2499
2385,1601
1457,2626
1525,1595
207,2286
2694,1677
1697,2502
2377,927
1977,2441
2179,783
889,344
2762,2277
1427,1905
2493,1567
2114,1218
167,1693
2475,1112
114,2351
244,2348
2203,2399
2033,948
2096,2165
159,2423
240,2231
1500,2704
214,1989
2433,1441
2684,2736
2280,1667
2106,2532
2235,761
2,1555
460,2257
300,774
319,2240
2790,1603
34,659
644,2723
1310,2360
411,823
2043,1262
2458,2060
420,2596
1154,2046
234,477
2111,1156
2057,2539
2132,1297
454,1384
206,1629
2190,1926
2276,2116
2546,957
2003,703
247,2736
2722,1118
1831,1813
2532,828
1640,2742
1829,2181
959,2164
2110,2634
1693,2090
2676,2656
712,2531
1296,1064
2577,1349
160,1648
2069,1170
2148,1779
327,1448
2466,2488
1320,1996
1900,2717
913,838
1293,2635
1700,2386
393,564
105,1281
2432,2121
1686,1502
1354,2114
2723,2231
1388,2441
856,791
1427,349
715,2108
617,2452
240,2034
651,1474
2544,1700
2040,1749
2637,2253
1797,2566
198,1870
1937,2755
164,1670
1648,1311
2040,1734
58,434
319,709
2788,2723
1759,1242
1651,2398
1204,379
2700,2400
2673,2231
2145,1911
1666,1570
1759,2594
366,364
2141,1697
2232,888
940,2808
916,1029
1695,1492
1268,2441
1712,2197
2077,2327
422,1623
305,2661
2180,2373
2231,982
2455,549
2539,726
1429,1140
1211,2042
532,454
477,1329
620,2664
166,2324
2709,2292
2458,770
1359,498
1865,2548
1670,2792
217,652
1531,1773
262,2354
1664,1955
2640,2642
158,2723
463,1011
1354,2690
294,757
687,903
751,876
290,2521
1684,1900
36,1372
1959,1093
2704,1059
8,409
132,2043
750,1567
34,2603
187,2458
366,2207
2153,1632
306,2669
2346,601
2676,2281
2499,1316
562,2030
578,437
2538,2103
1221,1200
2113,2315
593,1709
1517,427
940,2418
2610,1749
61,2090
69,2264
243,2250
1667,2733
396,2063
1908,629
99,474
324,2649
1963,1576
1803,2604
2676,2148
1382,1044
1349,2477
1953,880
1388,2512
2595,1962
155,2723
1719,2655
1090,1821
1064,950
2433,1775
2537,2247
2801,2402
2278,358
1598,2301
2577,2588
1793,2748
670,1565
2243,764
2092,1515
1186,907
1789,1296
1956,2596
2421,2644
1170,544
2138,2157
281,2447
1741,715
1848,1059
2513,2736
1046,2628
4,2635
2556,2684
2653,1787
363,1230
38,407
2437,1982
269,2646
1473,1766
1392,2454
1741,1891
185,1925
452,1928
1090,2321
1295,2227
767,2073
2453,2008
2311,951
1658,1305
855,586
1877,1596
1684,2520
181,1794
246,2676
913,1581
2337,2155
2043,2367
129,1418
1634,1746
2333,2107
2385,1190
147,1665
1939,2653
377,1362
545,778
861,1347
2480,1911
2615,804
2184,2599
149,1574
1100,1780
2603,2145
110,1299
2117,2703
2610,2000
320,2246
956,1353
91,1174
855,955
1171,2161
227,2095
1858,2120
273,1290
2535,1411
2298,1299
1294,1947
254,2481
2596,2458
1906,1856
1555,2450
113,1324
2646,2397
2550,2287
98,434
96,2441
1242,1894
738,2528
1793,2805
2203,1054
173,2089
1246,1396
2690,2720
1769,905
2151,1826
2527,964
1784,2625
2067,1934
2349,2463
1262,2024
1810,1476
292,343
2541,781
2540,2762
2654,2272
1178,597
1411,1752
778,1542
970,2113
1662,2664
935,1944
812,1333
927,2377
161,1426
2527,835
1413,2487
366,1494
1767,2511
808,1700
1000,2067
2748,2424
2448,1546
1281,1456
2626,807
1243,1236
995,2236
2108,2807
266,2383
308,2677
527,1433
1126,1636
2151,2499
2400,2310
2659,868
1567,2285
1636,2447
1629,1138
530,1205
1519,789
1631,1548
266,2441
2043,2418
2175,2774
153,1979
205,1942
224,971
1822,2449
2366,1472
1189,2552
1985,2455
1474,2609
1771,1560
905,798
2304,2396
2627,2295
1094,2472
765,2597
1701,1189
1048,2181
1134,2641
2411,1677
2665,2794
2600,1887
1744,874
1147,656
1016,2788
651,2509
645,2645
2107,2125
512,1560
2723,1901
1041,1956
274,2424
9,1483
2141,2727
2605,700
276,2719
117,1908
904,2551
795,1449
1616,2514
276,2527
721,2759
2148,2265
163,1666
2281,2176
2490,960
1799,2433
802,1800
2260,1049
1080,640
2285,377
1732,2518
769,2727
2362,1842
2509,2075
2009,2114
319,565
1775,843
1303,2466
1051,2691
2257,1092
2609,1603
2057,687
224,1722
138,953
823,1213
149,520
319,1897
284,2463
820,1479
394,2782
2691,2553
218,2038
337,650
2502,2609
820,495
1937,2239
2477,1855
56,852
1641,1099
2008,1776
1384,2535
2416,2349
1635,1838
2043,940
814,2392
311,709
1834,1189
1086,2008
1216,1893
561,2480
141,1489
307,1983
303,2659
2780,993
2423,1620
6,2072
2521,831
175,1747
1449,928
295,2565
